id,User Name,User ID,Follows,Followers,User Location,content,time
1145474434217598976,ねこもーど,catmode2010,2474,204,DSD,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 23:29:21 +0000 2019
1145473484014776320,リテレールアトリエ,CreatorRuru,3669,2740,滋賀県 彦根市,来月、南太平洋や南米で観測される皆既日食。アンデスの天文台では、コロナや磁場、電離圏に対する影響なんかを調べるみたい (2019年6月29日) - エキサイトニュース - エキサイトニュース https://t.co/cr7o7cAwqT @GoogleNewsさんから,Sun Jun 30 23:25:35 +0000 2019
1145472451414855680,ⓇⒶⒾⓃ,rain666_ship4,2317,2272,しっぷ4 あんす〜る❤︎,"#れいんのおもひで
#メンテの日じゃないけどssを貼る 
おはよーございますᕱ⑅ᕱ♥
2連休だったので今日もおやすみです✨
雨結構降ってるから通勤や通学気をつけてね？💦
今週も頑張っていきましょー(o´罒`o)ﾍﾍｯ♡

ssはコ… https://t.co/lTG0iyiOkC",Sun Jun 30 23:21:28 +0000 2019
1145472294124318722,Dr.たかし,dr_takashi0927,281,87,,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 23:20:51 +0000 2019
1145471796918943744,別冊太陽,bessatsutaiyo,338,3536,東京都千代田区神田神保町3-29,"RT @hrk_tdn: 平凡社からなんか重たいの届いてると思ったら今年の東洋文庫と平凡社ライブラリーの解説目録来てたー
∩(´∀｀)∩ﾜｧｲ♪
おまけのブックセレクションや近刊案内にも気になる本がざっくざく
コロナブックスの作家の〇〇シリーズも荒俣宏の花図鑑も気になるー♪",Sun Jun 30 23:18:52 +0000 2019
1145471768523501568,D.MA㌠@12月を予定,0608Dmasamune,4896,601,ガルパン横浜,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 23:18:46 +0000 2019
1145470591882760192,珪蛍4号,Kei_ke1,224,75,,先代殿は良かったんだけど今の娘に引き継がれなかったというか、コロナがない領主ですまんな。ステラ系なんだ。理想論を語る息子と義母になった結果、現実的数字で討論する間柄になってしまい無償で甘やかしてやれる関係にはなくなった。,Sun Jun 30 23:14:05 +0000 2019
1145469170038923264,ポメ（pome_m） アンツィオは弱くない！,pome_m,411,485,栃木県,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 23:08:26 +0000 2019
1145468933266264065,hb1honda,hb1honda1,195,168,,"RT @lmb_mica: @ankorocinema あんころ祭の企画や、最速上映・応援上映の前説でのスタッフさんの観客を楽しませようとする姿勢、岩浪監督の積極的な招聘など、安城コロナのスタッフさんの努力の積み重ねは確実に観客に届いていると思います。

あんころ祭も、恒例行事…",Sun Jun 30 23:07:30 +0000 2019
1145467205171077121,なのふな,nanofunya,350,15153,,@FururiMama98 コロナ！チェックします！！早くこの湿気とおさらばしたい～,Sun Jun 30 23:00:38 +0000 2019
1145466886164865025,あや,choco_choco18,234,77,,"昨日は鑪ら場で敬吾さん！
コロナ聞けて嬉しかった！！やった！！ https://t.co/j9Rxyhip17",Sun Jun 30 22:59:22 +0000 2019
